pizza_ingredients,total_ingredient_qty,total_ingredient_qty_kg
Alfredo Sauce,2087.717614304546,2.087717614304546
Anchovies,5517.235421885064,5.517235421885064
Artichokes,17250.103360549303,17.250103360549303
Arugula,1929.3880946300083,1.9293880946300082
Asiago Cheese,9870.17338170845,9.87017338170845
Bacon,64373.93774524925,64.37393774524925
Barbecue Chicken,11074.716777964666,11.074716777964666
Barbecue Sauce,3821.9469590660874,3.8219469590660875
Beef Chuck Roast,22015.92897380989,22.01592897380989
Blue Cheese,5972.014412150258,5.972014412150258
Brie Carre Cheese,1915.959073177367,1.915959073177367
Calabrese Salami,29727.837555174483,29.72783755517448
Capocollo,106016.08975080484,106.01608975080484
Caramelized Onions,1277.3060487849114,1.2773060487849113
Chicken,127266.36000743946,127.26636000743946
Chipotle Sauce,10626.57290898056,10.626572908980561
Chorizo Sausage,12544.349513451252,12.544349513451252
Cilantro,5313.28645449028,5.313286454490281
Coarse Sicilian Salami,20002.3908449888,20.0023908449888
Corn,35617.81930595255,35.61781930595255
Eggplant,5569.100436598744,5.5691004365987435
Feta Cheese,17714.97325678547,17.71497325678547
Fontina Cheese,9878.868888601392,9.878868888601392
Friggitello Peppers,1407.879507956758,1.407879507956758
Garlic,43033.87678738302,43.03387678738302
Genoa Salami,13704.122501245067,13.704122501245067
Goat Cheese,21379.21921075543,21.37921921075543
Gorgonzola Piccante Cheese,8767.955862442193,8.767955862442193
Gouda Cheese,7034.100069734493,7.034100069734493
Green Olives,8488.335722057262,8.488335722057261
Green Peppers,13485.847252027273,13.485847252027273
Italian Sausage,2508.8699026902505,2.5088699026902503
Jalapeno Peppers,8830.336489357527,8.830336489357528
Kalamata Olives,5412.793125315266,5.4127931253152655
Luganega Sausage,10001.1954224944,10.0011954224944
Mozzarella Cheese,29810.485527356854,29.810485527356853
Mushrooms,50121.88776972952,50.12188776972952
Onions,5000.5977112472,5.0005977112472
Oregano,2252.745429752291,2.252745429752291
Pancetta,8447.27704774055,8.44727704774055
Parmigiano Reggiano Cheese,20954.8942456219,20.9548942456219
Pears,638.6530243924557,0.6386530243924556
Peperoncini verdi,3092.059372936566,3.092059372936566
Pepperoni,57799.3446417932,57.7993446417932
Pesto Sauce,7973.2279535456655,7.973227953545665
Pineapple,20091.78664895136,20.091786648951363
Plum Tomatoes,4968.104631226971,4.9681046312269705
Prosciutto,1915.959073177367,1.915959073177367
Prosciutto di San Daniele,4444.923649260359,4.4449236492603585
Provolone Cheese,5972.014412150258,5.972014412150258
Red Onions,117359.2850648795,117.3592850648795
Red Peppers,24270.260608395005,24.270260608395006
Ricotta Cheese,10959.944828052743,10.959944828052743
Romano Cheese,5972.014412150258,5.972014412150258
Sliced Ham,12250.287022421659,12.25028702242166
Smoked Gouda Cheese,5972.014412150258,5.972014412150258
Soppressata Salami,14223.844094334494,14.223844094334494
Spinach,41395.240965135126,41.39524096513512
Sun-dried Tomatoes,2497.00153755379,2.49700153755379
Thai Sweet Chilli Sauce,7269.380921423411,7.26938092142341
Thyme,319.32651219622784,0.3193265121962278
Tomatoes,81385.47644844762,81.38547644844762
Zucchini,7265.336130494026,7.265336130494027
nduja Salami,5631.518031827032,5.631518031827032
